rank,designated_market_area,tv_homes,percent_of_usa,dma_code
80,Portland-Auburn,389530,0.341,500
1,New York,7384340,6.468,501
157,Binghamton,133420,0.117,502
120,Macon,241170,0.211,503
4,Philadelphia,2949310,2.583,504
11,Detroit,1845920,1.617,505
7,Boston (Manchester),2366690,2.073,506
92,Savannah,334750,0.293,507
23,Pittsburgh,1165740,1.021,508
109,Ft. Wayne,265390,0.232,509
18,Cleveland-Akron (Canton),1485140,1.301,510
8,"Washington, DC (Hagrstwn)",2359160,2.066,511
27,Baltimore,1085070,0.95,512
67,Flint-Saginaw-Bay City,446010,0.391,513
52,Buffalo,632150,0.554,514
35,Cincinnati,897890,0.786,515
146,Erie,155190,0.136,516
25,Charlotte,1136420,0.995,517
46,Greensboro-H.Point-W.Salem,695100,0.609,518
98,"Charleston, SC",316080,0.277,519
113,Augusta-Aiken,257730,0.226,520
53,Providence-New Bedford,606400,0.531,521
127,"Columbus, GA (Opelika, AL)",216920,0.19,522
97,Burlington-Plattsburgh,316910,0.278,523
9,Atlanta,2326840,2.038,524
150,"Albany, GA",150110,0.131,525
172,Utica,102890,0.09,526
26,Indianapolis,1089700,0.954,527
16,Miami-Ft. Lauderdale,1621130,1.42,528
48,Louisville,670880,0.588,529
106,Tallahassee-Thomasville,273120,0.239,530
96,"Tri-Cities, TN-VA",319060,0.279,531
58,Albany-Schenectady-Troy,540050,0.473,532
30,Hartford & New Haven,996550,0.873,533
19,Orlando-Daytona Bch-Melbrn,1453170,1.273,534
32,"Columbus, OH",930460,0.815,535
110,Youngstown,260000,0.228,536
155,Bangor,138040,0.121,537
78,"Rochester, NY",395680,0.347,538
14,Tampa-St. Pete (Sarasota),1806560,1.582,539
119,Traverse City-Cadillac,241800,0.212,540
64,Lexington,485630,0.425,541
63,Dayton,498270,0.436,542
114,Springfield-Holyoke,252950,0.222,543
44,Norfolk-Portsmth-Newpt Nws,709730,0.622,544
100,Greenville-N.Bern-Washngtn,303280,0.266,545
77,"Columbia, SC",398510,0.349,546
76,Toledo,409550,0.359,547
38,West Palm Beach-Ft. Pierce,794310,0.696,548
177,Watertown,92590,0.081,549
132,Wilmington,188420,0.165,550
115,Lansing,251140,0.22,551
205,Presque Isle,29250,0.026,552
180,Marquette,84640,0.074,553
158,Wheeling-Steubenville,130110,0.114,554
84,Syracuse,377550,0.331,555
57,Richmond-Petersburg,553390,0.485,556
61,Knoxville,520890,0.456,557
199,Lima,51240,0.045,558
156,Bluefield-Beckley-Oak Hill,134410,0.118,559
24,Raleigh-Durham (Fayetvlle),1150350,1.008,560
50,Jacksonville,659170,0.577,561
39,Grand Rapids-Kalmzoo-B.Crk,720150,0.631,563
65,Charleston-Huntington,455490,0.399,564
174,Elmira (Corning),95530,0.084,565
43,Harrisburg-Lncstr-Leb-York,716990,0.628,566
37,Greenvll-Spart-Ashevll-And,846030,0.741,567
178,Harrisonburg,90260,0.079,569
103,Myrtle Beach-Florence,285550,0.25,570
62,Ft. Myers-Naples,502050,0.44,571
68,Roanoke-Lynchburg,445470,0.39,573
102,Johnstown-Altoona-St Colge,288100,0.252,574
87,Chattanooga,353710,0.31,575
144,Salisbury,157830,0.138,576
54,Wilkes Barre-Scranton-Hztn,581020,0.509,577
154,Terre Haute,139600,0.122,581
189,"Lafayette, IN",66240,0.058,582
208,Alpena,16910,0.015,583
183,Charlottesville,74340,0.065,584
95,South Bend-Elkhart,319860,0.28,588
163,Gainesville,123430,0.108,592
203,Zanesville,32940,0.029,596
193,Parkersburg,62620,0.055,597
170,Clarksburg-Weston,106480,0.093,598
129,Corpus Christi,203730,0.178,600
3,Chicago,3484800,3.052,602
149,Joplin-Pittsburg,151200,0.132,603
138,Columbia-Jefferson City,173640,0.152,604
136,Topeka,176160,0.154,605
169,Dothan,107110,0.094,606
21,St. Louis,1243490,1.089,609
135,Rockford,179240,0.157,610
153,Rochestr-Mason City-Austin,143330,0.126,611
82,Shreveport,384410,0.337,612
15,Minneapolis-St. Paul,1728050,1.513,613
31,Kansas City,931320,0.816,616
34,Milwaukee,902190,0.79,617
10,Houston,2215650,1.941,618
74,"Springfield, MO",414570,0.363,619
51,New Orleans,641550,0.562,622
5,Dallas-Ft. Worth,2588020,2.267,623
147,Sioux City,154830,0.136,624
88,Waco-Temple-Bryan,349540,0.306,625
204,Victoria,31560,0.028,626
143,Wichita Falls & Lawton,158500,0.139,627
137,Monroe-El Dorado,175960,0.154,628
42,Birmingham (Ann and Tusc),717530,0.628,630
200,Ottumwa-Kirksville,46730,0.041,631
81,Paducah-Cape Girard-Harsbg,388340,0.34,632
152,Odessa-Midland,147730,0.129,633
130,Amarillo,197110,0.173,634
45,Austin,705280,0.618,635
86,Harlingen-Wslco-Brnsvl-McA,364160,0.319,636
90,Cedar Rapids-Wtrlo-IWC&Dub,342610,0.3,637
201,St. Joseph,46180,0.04,638
176,"Jackson, TN",93090,0.081,639
49,Memphis,662830,0.581,640
36,San Antonio,881050,0.772,641
124,"Lafayette, LA",229320,0.201,642
175,Lake Charles,94610,0.083,643
179,"Alexandria, LA",89280,0.078,644
188,Greenwood-Greenville,66410,0.058,647
83,Champaign&Sprngfld-Decatur,378720,0.332,648
104,Evansville,284040,0.249,649
41,Oklahoma City,718770,0.63,650
142,Lubbock,159840,0.14,651
75,Omaha,414060,0.363,652
159,Panama City,129390,0.113,656
161,Sherman-Ada,126930,0.111,657
69,Green Bay-Appleton,441800,0.387,658
29,Nashville,1014910,0.889,659
196,San Angelo,55820,0.049,661
164,Abilene-Sweetwater,114080,0.1,662
85,Madison,376670,0.33,669
101,Ft. Smith-Fay-Sprngdl-Rgrs,297590,0.261,670
59,Tulsa,526960,0.462,671
133,Columbus-Tupelo-W Pnt-Hstn,184990,0.162,673
116,Peoria-Bloomington,244050,0.214,675
139,Duluth-Superior,169610,0.149,676
66,Wichita-Hutchinson Plus,450300,0.394,678
72,Des Moines-Ames,427860,0.375,679
99,Davenport-R.Island-Moline,303800,0.266,682
60,Mobile-Pensacola (Ft Walt),525990,0.461,686
151,Minot-Bsmrck-Dcknsn(Wlstn),150000,0.131,687
79,Huntsville-Decatur (Flor),390590,0.342,691
141,Beaumont-Port Arthur,167110,0.146,692
56,Little Rock-Pine Bluff,561760,0.492,693
118,Montgomery-Selma,241930,0.212,698
128,La Crosse-Eau Claire,211670,0.185,702
134,Wausau-Rhinelander,179450,0.157,705
107,Tyler-Longview(Lfkn&Ncgd),268150,0.235,709
167,Hattiesburg-Laurel,109950,0.096,710
186,Meridian,68860,0.06,711
94,Baton Rouge,329620,0.289,716
171,Quincy-Hannibal-Keokuk,103520,0.091,717
93,"Jackson, MS",331500,0.29,718
105,Lincoln & Hastings-Krny,276790,0.242,722
117,Fargo-Valley City,243890,0.214,724
112,Sioux Falls(Mitchell),258460,0.226,725
181,Jonesboro,80740,0.071,734
182,Bowling Green,78780,0.069,736
198,Mankato,52530,0.046,737
209,North Platte,14720,0.013,740
145,Anchorage,156280,0.137,743
71,Honolulu,437790,0.383,744
202,Fairbanks,37920,0.033,745
160,Biloxi-Gulfport,128300,0.112,746
207,Juneau,26320,0.023,747
184,Laredo,72590,0.064,749
17,Denver,1566460,1.372,751
89,Colorado Springs-Pueblo,343990,0.301,752
13,Phoenix (Prescott),1812040,1.587,753
187,Butte-Bozeman,67180,0.059,754
190,Great Falls,65930,0.058,755
168,Billings,109730,0.096,756
111,Boise,259090,0.227,757
162,Idaho Fals-Pocatllo(Jcksn),125710,0.11,758
195,Cheyenne-Scottsbluff,56350,0.049,759
191,Twin Falls,64100,0.056,760
166,Missoula,113010,0.099,762
173,Rapid City,98020,0.086,764
91,El Paso (Las Cruces),339130,0.297,765
206,Helena,28260,0.025,766
197,Casper-Riverton,55270,0.048,767
33,Salt Lake City,917370,0.803,770
165,Yuma-El Centro,113230,0.099,771
185,Grand Junction-Montrose,70580,0.062,773
70,Tucson (Sierra Vista),438440,0.384,789
47,Albuquerque-Santa Fe,691450,0.606,790
210,Glendive,4050,0.004,798
126,Bakersfield,221740,0.194,800
121,Eugene,235570,0.206,801
194,Eureka,59610,0.052,802
2,Los Angeles,5613460,4.917,803
148,Palm Springs,154560,0.135,804
6,San Francisco-Oak-San Jose,2502030,2.191,807
122,Yakima-Pasco-Rchlnd-Knnwck,231950,0.203,810
108,Reno,265600,0.233,811
140,Medford-Klamath Falls,167820,0.147,813
12,Seattle-Tacoma,1818900,1.593,819
22,"Portland, OR",1182180,1.035,820
192,"Bend, OR",62950,0.055,821
28,San Diego,1075120,0.942,825
125,Monterey-Salinas,224240,0.196,828
40,Las Vegas,718990,0.63,839
122,SantaBarbra-SanMar-SanLuOb,231950,0.203,855
20,Sacramnto-Stkton-Modesto,1387710,1.215,862
55,Fresno-Visalia,576820,0.505,866
131,Chico-Redding,191500,0.168,868
73,Spokane,420640,0.368,881
